
S&P 500 INDEX,Last: 6711.2002,Change:  22.7402
"Date: October 1, 2025 at 6:04 PM EDT",Bid: 6661.1099,Ask: 6743.9702,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Sep 18 2026,SPX260918C00600000,6046.13,0,6062.5,6101.6,0,0.9291,1,0,0,600.00,SPX260918P00600000,0.4,0.05,0.2,0.45,2,0.7746,-0.0004,0,405
Fri Sep 18 2026,SPX260918C00800000,5679.72,0,5870.4,5909.4,0,0.8359,1,0,0,800.00,SPX260918P00800000,0.8,0.025,0.55,0.8,8,0.7546,-0.0006,0,609
Fri Sep 18 2026,SPX260918C01600000,0,0,5102.7,5141.5,0,0.6189,1,0,0,1600.00,SPX260918P01600000,3.48,-0.02,3.3,3.7,6,0.5948,-0.0025,0,773
Fri Sep 18 2026,SPX260918C01800000,0,0,4911.4,4950.4,0,0.5887,1,0,0,1800.00,SPX260918P01800000,4.67,-0.03,4.4,4.9,36,0.5695,-0.0035,0,170
Fri Sep 18 2026,SPX260918C02200000,0,0,4529.2,4568.1,0,0.5308,0.9982,0,0,2200.00,SPX260918P02200000,7.58,-0.07,7.5,7.9,2,0.518,-0.0061,0,383
Fri Sep 18 2026,SPX260918C02500000,0,0,4239.8,4282,0,0.4826,0.9955,0,0,2500.00,SPX260918P02500000,10.5,0.05,10.3,10.7,52,0.4832,-0.0088,0,430
Fri Sep 18 2026,SPX260918C02600000,0,0,4147,4186.8,0,0.479,0.9944,0,0,2600.00,SPX260918P02600000,11.36,-0.09,11.4,11.8,223,0.4722,-0.0099,0,732
Fri Sep 18 2026,SPX260918C02700000,0,0,4052.6,4091.6,0,0.4697,0.9933,0,0,2700.00,SPX260918P02700000,12.65,0,12.5,12.9,4,0.4617,-0.011,0,88
Fri Sep 18 2026,SPX260918C03000000,3738.43,0,3767.5,3806.5,0,0.4305,0.9894,0,52,3000.00,SPX260918P03000000,16.6,0.15,16.4,16.8,50,0.4311,-0.0149,0,3398
Fri Sep 18 2026,SPX260918C03200000,0,0,3588.6,3599.4,0,0.4108,0.9863,0,0,3200.00,SPX260918P03200000,19.45,0,19.3,19.7,6,0.4122,-0.018,0,117
Fri Sep 18 2026,SPX260918C03300000,0,0,3494,3504.6,0,0.4016,0.9846,0,0,3300.00,SPX260918P03300000,20.72,-0.33,20.9,21.4,258,0.4022,-0.0197,0,849
Fri Sep 18 2026,SPX260918C03400000,0,0,3399.5,3410.4,0,0.3922,0.9827,0,0,3400.00,SPX260918P03400000,22.62,-0.08,22.6,23.2,104,0.3928,-0.0216,0,264
Fri Sep 18 2026,SPX260918C03450000,0,0,3352.2,3362.6,0,0.3877,0.9817,0,0,3450.00,SPX260918P03450000,23.66,0.11,23.5,24,6,0.3886,-0.0226,0,163
Fri Sep 18 2026,SPX260918C03500000,2644.06,0,3305,3315.8,0,0.383,0.9807,0,1,3500.00,SPX260918P03500000,24.2,-0.25,24.4,25,10,0.3843,-0.0236,0,921
Fri Sep 18 2026,SPX260918C03600000,0,0,3210.7,3221.3,0,0.3742,0.9786,0,0,3600.00,SPX260918P03600000,26.52,0.17,26.3,26.8,2,0.3752,-0.0257,0,2435
Fri Sep 18 2026,SPX260918C03650000,0,0,3163.7,3174.1,0,0.3699,0.9774,0,0,3650.00,SPX260918P03650000,27.1,-0.25,27.3,27.8,64,0.3709,-0.0269,0,148
Fri Sep 18 2026,SPX260918C03700000,0,0,3116.6,3126.5,0,0.3654,0.9762,0,0,3700.00,SPX260918P03700000,28.1,-0.3,28.4,28.9,22,0.3662,-0.0281,0,61
Fri Sep 18 2026,SPX260918C03750000,0,0,3069.6,3079.8,0,0.3612,0.975,0,0,3750.00,SPX260918P03750000,29.15,-0.3,29.4,29.9,14,0.362,-0.0293,0,119
Fri Sep 18 2026,SPX260918C03800000,0,0,3022.6,3032.8,0,0.3568,0.9737,0,0,3800.00,SPX260918P03800000,30.66,0.11,30.6,31.1,6,0.3572,-0.0306,0,116
Fri Sep 18 2026,SPX260918C03850000,0,0,2975.7,2985.7,0,0.3526,0.9723,0,0,3850.00,SPX260918P03850000,32.06,0.36,31.7,32.2,2,0.3535,-0.032,0,43
Fri Sep 18 2026,SPX260918C03900000,2281.71,0,2928.8,2938.8,0,0.3484,0.9709,0,1,3900.00,SPX260918P03900000,33.02,0.12,32.9,33.5,2,0.3492,-0.0334,0,41
Fri Sep 18 2026,SPX260918C03950000,0,0,2882,2891.8,0,0.3444,0.9694,0,0,3950.00,SPX260918P03950000,34.56,0.36,34.2,34.7,6,0.3451,-0.0349,0,108
Fri Sep 18 2026,SPX260918C04000000,2804.67,0,2835.2,2845,0,0.3404,0.9679,0,7,4000.00,SPX260918P04000000,35.4,-0.1,35.5,36,16,0.341,-0.0364,0,1042
Fri Sep 18 2026,SPX260918C04025000,0,0,2810.3,2822.3,0,0.3381,0.9671,0,0,4025.00,SPX260918P04025000,35.81,-0.39,36.2,36.8,38,0.3392,-0.0372,0,12
Fri Sep 18 2026,SPX260918C04050000,0,0,2788.5,2798.2,0,0.3365,0.9663,0,0,4050.00,SPX260918P04050000,36.52,-0.33,36.9,37.4,2,0.3371,-0.038,0,727
Fri Sep 18 2026,SPX260918C04100000,0,0,2741.8,2751.4,0,0.3324,0.9646,0,0,4100.00,SPX260918P04100000,37.97,-0.33,38.3,38.9,2,0.3333,-0.0397,0,230
Fri Sep 18 2026,SPX260918C04175000,0,0,2670.6,2682.7,0,0.3265,0.9619,0,0,4175.00,SPX260918P04175000,41.39,0.79,40.6,41.3,2,0.3275,-0.0424,0,396
Fri Sep 18 2026,SPX260918C04250000,2523.38,0,2602.3,2611.5,0,0.3212,0.959,0,0,4250.00,SPX260918P04250000,42.5,-0.55,43.1,43.7,10,0.3216,-0.0453,0,128
Fri Sep 18 2026,SPX260918C04275000,0,0,2578,2588.9,0,0.3191,0.958,0,0,4275.00,SPX260918P04275000,44.12,0.17,43.9,44.6,204,0.3199,-0.0464,0,104
Fri Sep 18 2026,SPX260918C04300000,0,0,2556.2,2564.9,0,0.3175,0.9569,0,0,4300.00,SPX260918P04300000,44.9,0.1,44.8,45.5,3,0.3176,-0.0474,0,2284
Fri Sep 18 2026,SPX260918C04350000,0,0,2510,2518.6,0,0.3138,0.9547,0,0,4350.00,SPX260918P04350000,46.77,-0.03,46.6,47.3,159,0.3139,-0.0495,0,967
Fri Sep 18 2026,SPX260918C04375000,0,0,2485.5,2496.2,0,0.3119,0.9536,0,0,4375.00,SPX260918P04375000,47.6,0,47.6,48.3,303,0.3125,-0.0507,0,707
Fri Sep 18 2026,SPX260918C04400000,0,0,2463.8,2472.4,0,0.3103,0.9525,0,0,4400.00,SPX260918P04400000,48.56,0.01,48.6,49.2,139,0.3108,-0.0518,0,290
Fri Sep 18 2026,SPX260918C04475000,0,0,2393.4,2404.3,0,0.3048,0.9489,0.0001,0,4475.00,SPX260918P04475000,51.3,-0.35,51.6,52.5,1,0.3055,-0.0554,0.0001,36
Fri Sep 18 2026,SPX260918C04500000,1677.34,0,2371.7,2380.1,0,0.3032,0.9476,0.0001,3,4500.00,SPX260918P04500000,52.4,-0.35,52.7,53.4,10,0.3038,-0.0567,0.0001,722
Fri Sep 18 2026,SPX260918C04600000,0,0,2280.1,2288.4,0,0.2964,0.9422,0.0001,0,4600.00,SPX260918P04600000,57.09,-0.31,57.3,58,11,0.2968,-0.0621,0.0001,339
Fri Sep 18 2026,SPX260918C04625000,0,0,2256.1,2266.6,0,0.2947,0.9408,0.0001,0,4625.00,SPX260918P04625000,58.2,-0.35,58.5,59.4,11,0.2951,-0.0635,0.0001,86
Fri Sep 18 2026,SPX260918C04650000,0,0,2234.5,2242.6,0,0.2931,0.9393,0.0001,0,4650.00,SPX260918P04650000,59.1,-0.75,59.8,60.5,1,0.2935,-0.065,0.0001,660
Fri Sep 18 2026,SPX260918C04675000,0,0,2210.5,2220.9,0,0.2913,0.9378,0.0001,0,4675.00,SPX260918P04675000,60.4,-0.75,61,61.8,6,0.2918,-0.0665,0.0001,54
Fri Sep 18 2026,SPX260918C04750000,0,0,2143.6,2151.6,0,0.2866,0.933,0.0001,0,4750.00,SPX260918P04750000,65.62,0.42,65.1,65.7,8,0.2869,-0.0712,0.0001,198
Fri Sep 18 2026,SPX260918C04775000,0,0,2119.8,2130,0,0.2849,0.9314,0.0001,0,4775.00,SPX260918P04775000,66.65,0,66.4,67.2,2,0.2853,-0.0729,0.0001,44
Fri Sep 18 2026,SPX260918C05000000,1916.78,18.68,1918.9,1926.4,5,0.2712,0.9146,0.0001,26621,5000.00,SPX260918P05000000,79.9,-1.2,80.8,81.5,78,0.2714,-0.0897,0.0001,28328
Fri Sep 18 2026,SPX260918C05075000,0,0,1851.2,1860.6,0,0.2665,0.9081,0.0001,0,5075.00,SPX260918P05075000,86.06,-0.64,86.2,87.1,4,0.2668,-0.0962,0.0001,60
Fri Sep 18 2026,SPX260918C05175000,1422.5,0,1763,1772.1,0,0.2607,0.8989,0.0001,2,5175.00,SPX260918P05175000,93.7,-1.05,94.1,95.1,1,0.261,-0.1054,0.0001,31
Fri Sep 18 2026,SPX260918C05200000,1661.13,0,1742.1,1749.2,0,0.2593,0.8964,0.0001,1,5200.00,SPX260918P05200000,95.59,-1.31,96.3,97.2,2,0.2595,-0.1079,0.0001,2279
Fri Sep 18 2026,SPX260918C05300000,1189.57,0,1654.9,1661.9,0,0.2536,0.8861,0.0001,1,5300.00,SPX260918P05300000,106.05,0.1,105.1,106.2,12,0.2538,-0.1182,0.0001,1195
Fri Sep 18 2026,SPX260918C05350000,0,0,1611.6,1618.4,0,0.2507,0.8806,0.0001,0,5350.00,SPX260918P05350000,111.55,0.7,109.9,111,2,0.2509,-0.1237,0.0001,496
Fri Sep 18 2026,SPX260918C05375000,0,0,1589,1597.8,0,0.2492,0.8777,0.0001,0,5375.00,SPX260918P05375000,112.3,-1.05,112.4,113.4,1,0.2495,-0.1266,0.0001,104
Fri Sep 18 2026,SPX260918C05400000,1567.94,0,1568.5,1575.2,0,0.2479,0.8748,0.0001,39,5400.00,SPX260918P05400000,116.3,0.4,114.9,116,10,0.2481,-0.1295,0.0001,373
Fri Sep 18 2026,SPX260918C05450000,972.96,0,1525.6,1532.3,0,0.2451,0.8688,0.0001,3,5450.00,SPX260918P05450000,121.49,0.29,120.1,121.2,10,0.2453,-0.1355,0.0001,579
Fri Sep 18 2026,SPX260918C05500000,1481.7,0,1483,1489.6,0,0.2423,0.8626,0.0001,22,5500.00,SPX260918P05500000,124.1,-2.6,125.6,126.7,5,0.2425,-0.1417,0.0001,2308
Fri Sep 18 2026,SPX260918C05550000,1439.93,0,1440.6,1447.1,0,0.2396,0.8561,0.0001,31,5550.00,SPX260918P05550000,131.85,-0.65,131.3,132.4,625,0.2397,-0.1482,0.0001,1360
Fri Sep 18 2026,SPX260918C05600000,1258.2,0,1398.5,1404.9,0,0.2368,0.8493,0.0001,50,5600.00,SPX260918P05600000,137.3,-1.3,137.2,138.3,696,0.237,-0.155,0.0001,2204
Fri Sep 18 2026,SPX260918C05650000,1324.07,0,1356.7,1362.9,0,0.2341,0.8422,0.0002,72,5650.00,SPX260918P05650000,145.87,0.92,143.5,144.6,6,0.2342,-0.1621,0.0002,522
Fri Sep 18 2026,SPX260918C05675000,1241.23,0,1334.9,1342.9,0,0.2326,0.8386,0.0002,70,5675.00,SPX260918P05675000,145.8,-2.4,146.6,147.8,5,0.2328,-0.1657,0.0002,203
Fri Sep 18 2026,SPX260918C05700000,1295.06,0,1315,1321.2,0,0.2313,0.8349,0.0002,10,5700.00,SPX260918P05700000,149.8,-1.75,150,151.1,4,0.2315,-0.1694,0.0002,2561
Fri Sep 18 2026,SPX260918C05850000,1012.05,0,1193.2,1196.1,0,0.2231,0.8111,0.0002,47,5850.00,SPX260918P05850000,169.4,-3.65,171.1,172.3,26,0.2232,-0.1932,0.0002,474
Fri Sep 18 2026,SPX260918C05900000,1104.55,0,1152.7,1155.5,0,0.2203,0.8025,0.0002,102,5900.00,SPX260918P05900000,177.15,-3.7,178.7,179.9,128,0.2204,-0.2018,0.0002,13883
Fri Sep 18 2026,SPX260918C05925000,1061.16,0,1132.5,1135.4,0,0.2189,0.7981,0.0002,4,5925.00,SPX260918P05925000,181.97,-2.88,182.6,184.2,4,0.219,-0.2062,0.0002,12061
Fri Sep 18 2026,SPX260918C05950000,1061.84,0,1112.4,1115.3,0,0.2176,0.7936,0.0002,51,5950.00,SPX260918P05950000,185.8,-3.15,186.7,188.2,113,0.2177,-0.2107,0.0002,1340
Fri Sep 18 2026,SPX260918C05975000,1100.54,29.14,1092.6,1095.3,2,0.2162,0.789,0.0002,2,5975.00,SPX260918P05975000,190.16,-2.89,190.8,192.3,320,0.2163,-0.2153,0.0002,1288
Fri Sep 18 2026,SPX260918C06000000,1068.44,16.74,1072.5,1075.4,1,0.2148,0.7843,0.0002,28028,6000.00,SPX260918P06000000,194,-3.3,194.9,196.1,57,0.2149,-0.22,0.0002,32179
Fri Sep 18 2026,SPX260918C06025000,981.62,0,1052.7,1055.6,0,0.2134,0.7795,0.0002,56,6025.00,SPX260918P06025000,198.6,-2.95,199.1,200.4,68,0.2136,-0.2248,0.0002,655
Fri Sep 18 2026,SPX260918C06050000,964.45,0,1033.1,1035.8,0,0.212,0.7746,0.0002,256,6050.00,SPX260918P06050000,204.2,-1.8,203.7,204.7,48,0.2121,-0.2297,0.0002,427
Fri Sep 18 2026,SPX260918C06100000,944.22,0,993.7,996.6,0,0.2092,0.7646,0.0002,537,6100.00,SPX260918P06100000,211.25,-3.8,212.4,213.6,20,0.2093,-0.2397,0.0002,1490
Fri Sep 18 2026,SPX260918C06125000,973.76,20.01,974.2,977.1,1,0.2078,0.7594,0.0002,5,6125.00,SPX260918P06125000,216.31,-3.34,216.7,218.2,8,0.2079,-0.2449,0.0002,478
Fri Sep 18 2026,SPX260918C06175000,944.44,29.34,935.4,938.3,6,0.2049,0.7488,0.0002,73,6175.00,SPX260918P06175000,224.57,-4.68,226.4,227.6,385,0.205,-0.2555,0.0002,839
Fri Sep 18 2026,SPX260918C06200000,924.59,28.49,916.2,919.1,14,0.2036,0.7433,0.0002,2165,6200.00,SPX260918P06200000,228.59,-5.56,231.1,232.4,21,0.2036,-0.261,0.0002,2148
Fri Sep 18 2026,SPX260918C06275000,780.47,0,859,861.9,0,0.1992,0.7263,0.0003,28,6275.00,SPX260918P06275000,246.44,-3.01,246,247.5,2,0.1993,-0.278,0.0003,499
Fri Sep 18 2026,SPX260918C06300000,841.53,21.13,840.3,843,3,0.1978,0.7204,0.0003,2058,6300.00,SPX260918P06300000,249.25,-5.45,251.3,252.7,4,0.1978,-0.2839,0.0003,3620
Fri Sep 18 2026,SPX260918C06325000,820.86,19.16,821.3,824.2,1,0.1963,0.7144,0.0003,606,6325.00,SPX260918P06325000,260.5,0,256.5,258,0,0.1963,-0.29,0.0003,286
Fri Sep 18 2026,SPX260918C06350000,760.58,0,802.7,805.6,0,0.1948,0.7082,0.0003,954,6350.00,SPX260918P06350000,259.75,-5.9,262,263.4,6,0.1949,-0.2961,0.0003,1397
Fri Sep 18 2026,SPX260918C06375000,791.73,27.03,784.1,787,4,0.1933,0.702,0.0003,192,6375.00,SPX260918P06375000,267.6,-3.6,267.4,268.9,255,0.1934,-0.3024,0.0003,1172
Fri Sep 18 2026,SPX260918C06400000,772.2,25.9,765.6,768.5,7,0.1918,0.6956,0.0003,1879,6400.00,SPX260918P06400000,270.37,-6.48,273.1,274.5,112,0.1919,-0.3087,0.0003,2376
Fri Sep 18 2026,SPX260918C06425000,754.73,26.73,747.7,750.1,2,0.1902,0.6891,0.0003,27,6425.00,SPX260918P06425000,276.52,-6.23,278.7,280.2,258,0.1904,-0.3152,0.0003,509
Fri Sep 18 2026,SPX260918C06450000,735.8,25.9,729.5,731.8,5,0.1889,0.6824,0.0003,2274,6450.00,SPX260918P06450000,281.77,-6.88,284.6,286,54,0.1889,-0.3219,0.0003,1493
Fri Sep 18 2026,SPX260918C06475000,670.96,0,711.3,713.7,0,0.1873,0.6757,0.0003,1319,6475.00,SPX260918P06475000,288.17,-6.53,290.4,292,64,0.1874,-0.3286,0.0003,486
