
S&P 500 INDEX,Last: 6711.2002,Change:  22.7402
"Date: October 1, 2025 at 6:01 PM EDT",Bid: 6661.1099,Ask: 6743.9702,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Apr 17 2026,SPX260417C01200000,0,0,5498.5,5515.9,0,0,1,0,0,1200.00,SPX260417P01200000,0.65,0.075,0.5,0.6,3,0.7896,-0.0005,0,268
Fri Apr 17 2026,SPX260417C01400000,5268.39,-14.9601,5303.2,5320.7,1,0.6674,1,0,1,1400.00,SPX260417P01400000,1.05,0.175,0.7,1,1,0.7434,-0.0007,0,257
Fri Apr 17 2026,SPX260417C02200000,0,0,4523,4540.6,0,0.6424,0.9997,0,0,2200.00,SPX260417P02200000,2.75,-0.125,2.7,3.1,274,0.6068,-0.0028,0,2210
Fri Apr 17 2026,SPX260417C02400000,4293.49,-15.2102,4328.3,4345.8,1,0.5407,0.9988,0,1,2400.00,SPX260417P02400000,3.73,0,3.5,3.9,0,0.5792,-0.0038,0,1114
Fri Apr 17 2026,SPX260417C02700000,3997.4,0,4036.5,4054.1,0,0.5145,0.9969,0,1,2700.00,SPX260417P02700000,5.13,-0.17,5,5.4,10,0.5385,-0.0056,0,446
Fri Apr 17 2026,SPX260417C02900000,0,0,3842.1,3859.7,0,0.5137,0.9953,0,0,2900.00,SPX260417P02900000,6.3,-0.25,6.2,6.6,23,0.5138,-0.0072,0,277
Fri Apr 17 2026,SPX260417C03300000,0,0,3454.1,3471.9,0,0.4675,0.9912,0,0,3300.00,SPX260417P03300000,9.5,-0.15,9.3,9.7,14,0.4667,-0.0113,0,691
Fri Apr 17 2026,SPX260417C03400000,2635.04,0,3357.3,3375,0,0.4593,0.99,0,0,3400.00,SPX260417P03400000,10.5,-0.1,10.2,10.7,142,0.4555,-0.0125,0,1878
Fri Apr 17 2026,SPX260417C03500000,2466.66,0,3260.5,3278.2,0,0.4475,0.9886,0,2,3500.00,SPX260417P03500000,11.3,-0.25,11.2,11.6,1,0.4444,-0.0139,0,904
Fri Apr 17 2026,SPX260417C03550000,2972.7,0,3217,3223.7,0,0.4417,0.9879,0,0,3550.00,SPX260417P03550000,11.8,-0.3,11.7,12.2,6,0.4385,-0.0146,0,682
Fri Apr 17 2026,SPX260417C03600000,0,0,3168.6,3175.2,0,0.4358,0.9872,0,0,3600.00,SPX260417P03600000,12.3,-0.35,12.3,12.7,3,0.4331,-0.0153,0,575
Fri Apr 17 2026,SPX260417C03650000,0,0,3120.3,3126.9,0,0.4299,0.9864,0,0,3650.00,SPX260417P03650000,13.3,0.1,12.8,13.2,2,0.4276,-0.0161,0,746
Fri Apr 17 2026,SPX260417C03700000,0,0,3072,3078.4,0,0.4244,0.9856,0,0,3700.00,SPX260417P03700000,13.4,-0.35,13.4,13.8,14,0.422,-0.0169,0,484
Fri Apr 17 2026,SPX260417C03750000,0,0,3023.7,3030.1,0,0.4187,0.9848,0,0,3750.00,SPX260417P03750000,14,-0.35,14,14.4,1,0.4162,-0.0177,0,210
Fri Apr 17 2026,SPX260417C03850000,1645.48,0,2927.1,2933.4,0,0.4075,0.983,0,3,3850.00,SPX260417P03850000,15.1,-0.45,15.2,15.6,8,0.4055,-0.0196,0,27
Fri Apr 17 2026,SPX260417C03900000,2144.13,0,2878.9,2885.1,0,0.4019,0.982,0,23,3900.00,SPX260417P03900000,15.9,-0.3,15.8,16.2,19,0.3998,-0.0205,0,967
Fri Apr 17 2026,SPX260417C03950000,2035.55,0,2830.7,2836.8,0,0.3966,0.981,0,45,3950.00,SPX260417P03950000,16.7,-0.15,16.5,16.9,43,0.3944,-0.0215,0,972
Fri Apr 17 2026,SPX260417C04000000,2740.34,0,2782.5,2788.6,0,0.3911,0.98,0,59,4000.00,SPX260417P04000000,17.4,-0.15,17.2,17.5,25,0.3894,-0.0226,0,2414
Fri Apr 17 2026,SPX260417C04025000,2667.75,0,2757.5,2765.2,0,0.388,0.9794,0,1,4025.00,SPX260417P04025000,17.5,-0.4,17.5,17.9,2,0.3868,-0.0231,0,99
Fri Apr 17 2026,SPX260417C04125000,0,0,2661.2,2668.8,0,0.3775,0.9771,0,0,4125.00,SPX260417P04125000,19.1,-0.3,19,19.4,8,0.3762,-0.0254,0,62
Fri Apr 17 2026,SPX260417C04150000,0,0,2638.1,2644,0,0.3751,0.9765,0,0,4150.00,SPX260417P04150000,19.4,-0.35,19.3,19.7,310,0.3739,-0.026,0,513
Fri Apr 17 2026,SPX260417C04175000,0,0,2613.2,2620.6,0,0.3721,0.9759,0,0,4175.00,SPX260417P04175000,19.7,-0.45,19.7,20.2,11,0.3713,-0.0267,0,161
Fri Apr 17 2026,SPX260417C04200000,1590,0,2590,2595.9,0,0.3698,0.9752,0,10,4200.00,SPX260417P04200000,20.1,-0.45,20.1,20.5,12,0.3687,-0.0273,0,357
Fri Apr 17 2026,SPX260417C04225000,0,0,2565.1,2572.5,0,0.3669,0.9746,0,0,4225.00,SPX260417P04225000,20.5,-0.45,20.5,21,23,0.3661,-0.028,0,385
Fri Apr 17 2026,SPX260417C04250000,0,0,2541.9,2547.8,0,0.3647,0.9739,0,0,4250.00,SPX260417P04250000,20.8,-0.55,20.9,21.4,2,0.363,-0.0286,0,713
Fri Apr 17 2026,SPX260417C04300000,0,0,2493.9,2499.7,0,0.3595,0.9725,0,0,4300.00,SPX260417P04300000,22,-0.3,21.8,22.2,9,0.3584,-0.0301,0,168
Fri Apr 17 2026,SPX260417C04325000,0,0,2469.1,2476.4,0,0.3565,0.9717,0,0,4325.00,SPX260417P04325000,22.1,-0.6,22.2,22.7,2,0.3558,-0.0308,0,138
Fri Apr 17 2026,SPX260417C04350000,0,0,2446,2451.7,0,0.3548,0.971,0,0,4350.00,SPX260417P04350000,22.9,-0.25,22.7,23.2,5,0.3533,-0.0316,0,1057
Fri Apr 17 2026,SPX260417C04400000,0,0,2398.6,2404.4,0,0.3514,0.9694,0,0,4400.00,SPX260417P04400000,23.6,-0.5,23.6,24.1,2,0.3481,-0.0331,0,437
Fri Apr 17 2026,SPX260417C04425000,0,0,2373.2,2380.5,0,0.3466,0.9686,0,0,4425.00,SPX260417P04425000,23.9,-0.7,24.1,24.7,2,0.3458,-0.034,0,50
Fri Apr 17 2026,SPX260417C04450000,0,0,2350.1,2355.9,0,0.3444,0.9677,0,0,4450.00,SPX260417P04450000,24.4,-0.7,24.6,25.1,5,0.3436,-0.0348,0,161
Fri Apr 17 2026,SPX260417C04475000,0,0,2325.3,2332.6,0,0.3417,0.9669,0,0,4475.00,SPX260417P04475000,25,-0.65,25.1,25.7,2,0.3411,-0.0357,0,420
Fri Apr 17 2026,SPX260417C04500000,2301.36,0,2302.3,2308,0,0.3396,0.966,0,9,4500.00,SPX260417P04500000,25.5,-0.7,25.7,26.2,8,0.3383,-0.0366,0,1601
Fri Apr 17 2026,SPX260417C04525000,0,0,2277.6,2284.8,0,0.3368,0.965,0,0,4525.00,SPX260417P04525000,25.8,-0.9,26.2,26.8,7,0.3364,-0.0375,0,122
Fri Apr 17 2026,SPX260417C04575000,2029.17,0,2229.9,2237,0,0.332,0.9631,0,1,4575.00,SPX260417P04575000,27.1,-0.8,27.4,28,2,0.3315,-0.0394,0,307
Fri Apr 17 2026,SPX260417C04600000,877.26,0,2206.9,2212.5,0,0.33,0.9621,0,4,4600.00,SPX260417P04600000,28.4,-0.1,28,28.5,2,0.3289,-0.0404,0,645
Fri Apr 17 2026,SPX260417C04625000,0,0,2182.3,2189.3,0,0.3273,0.9611,0.0001,0,4625.00,SPX260417P04625000,28.5,-0.65,28.6,29.2,7,0.3266,-0.0414,0.0001,145
Fri Apr 17 2026,SPX260417C04650000,1488.05,0,2159.3,2164.8,0,0.3257,0.96,0.0001,1,4650.00,SPX260417P04650000,29,-0.8,29.2,29.8,3,0.3245,-0.0425,0.0001,878
Fri Apr 17 2026,SPX260417C04675000,0,0,2134.7,2141.7,0,0.3227,0.959,0.0001,0,4675.00,SPX260417P04675000,30.1,-0.35,29.9,30.5,11,0.322,-0.0436,0.0001,168
Fri Apr 17 2026,SPX260417C04725000,0,0,2087.2,2094.1,0,0.318,0.9567,0.0001,0,4725.00,SPX260417P04725000,30.9,-0.95,31.2,31.8,3,0.3175,-0.0458,0.0001,251
Fri Apr 17 2026,SPX260417C04800000,1937.97,0,2017.4,2022.3,0,0.3115,0.953,0.0001,18,4800.00,SPX260417P04800000,33.65,-0.45,33.4,34.1,6,0.3107,-0.0495,0.0001,1863
Fri Apr 17 2026,SPX260417C04825000,1905.45,0,1992.6,1999.2,0,0.3091,0.9516,0.0001,4,4825.00,SPX260417P04825000,33.8,-1.1,34.2,34.9,5,0.3087,-0.0509,0.0001,1232
Fri Apr 17 2026,SPX260417C04850000,1607.67,0,1970,1974.9,0,0.3071,0.9503,0.0001,31,4850.00,SPX260417P04850000,35,-0.75,35,35.7,11,0.3065,-0.0522,0.0001,684
Fri Apr 17 2026,SPX260417C04875000,1584.93,0,1945.4,1951.9,0,0.3047,0.9489,0.0001,43,4875.00,SPX260417P04875000,35.7,-0.85,35.8,36.5,7,0.3043,-0.0536,0.0001,1374
Fri Apr 17 2026,SPX260417C04900000,1559.83,0,1922.9,1927.7,0,0.303,0.9475,0.0001,2,4900.00,SPX260417P04900000,36.1,-1.35,36.7,37.4,7,0.3024,-0.055,0.0001,472
Fri Apr 17 2026,SPX260417C04950000,873.62,0,1875.8,1880.6,0,0.2984,0.9445,0.0001,2,4950.00,SPX260417P04950000,38.2,-1.15,38.5,39.2,6,0.2979,-0.058,0.0001,273
Fri Apr 17 2026,SPX260417C04975000,1631.1,0,1851.3,1857.7,0,0.2961,0.9429,0.0001,223,4975.00,SPX260417P04975000,38.9,-1.35,39.4,40.2,4,0.2959,-0.0596,0.0001,176
Fri Apr 17 2026,SPX260417C05000000,1809.62,4.32,1828.9,1833.6,1,0.2942,0.9413,0.0001,1275,5000.00,SPX260417P05000000,40.6,-0.65,40.4,41.1,64,0.2937,-0.0612,0.0001,3761
Fri Apr 17 2026,SPX260417C05025000,1245.28,0,1804.4,1810.7,0,0.2918,0.9396,0.0001,75,5025.00,SPX260417P05025000,41,-1.35,41.4,42.2,3,0.2917,-0.0629,0.0001,448
Fri Apr 17 2026,SPX260417C05050000,839.74,0,1781.7,1786.7,0,0.2899,0.9379,0.0001,177,5050.00,SPX260417P05050000,42.7,-0.65,42.4,43.2,5,0.2893,-0.0646,0.0001,319
Fri Apr 17 2026,SPX260417C05100000,792.86,0,1735.2,1739.9,0,0.2864,0.9343,0.0001,14,5100.00,SPX260417P05100000,44.8,-0.85,44.6,45.4,6,0.2854,-0.0682,0.0001,1585
Fri Apr 17 2026,SPX260417C05125000,530.5,0,1711.3,1717.2,0,0.2846,0.9324,0.0001,825,5125.00,SPX260417P05125000,46,-0.8,45.8,46.5,11,0.2834,-0.0701,0.0001,235
Fri Apr 17 2026,SPX260417C05200000,1284.12,0,1642,1646.9,0,0.2784,0.9264,0.0001,3640,5200.00,SPX260417P05200000,49.5,-1.05,49.4,50.2,3,0.2773,-0.0761,0.0001,3638
Fri Apr 17 2026,SPX260417C05225000,730.56,0,1618.1,1624.3,0,0.2764,0.9243,0.0001,850,5225.00,SPX260417P05225000,52.7,0.85,50.7,51.4,4,0.2754,-0.0783,0.0001,594
Fri Apr 17 2026,SPX260417C05250000,1542.05,0,1596,1600.5,0,0.2742,0.9221,0.0001,675,5250.00,SPX260417P05250000,51,-2.25,52,52.8,5,0.2733,-0.0804,0.0001,1052
Fri Apr 17 2026,SPX260417C05275000,1554.06,4.51,1572,1578,1,0.2723,0.9198,0.0001,139,5275.00,SPX260417P05275000,52.4,-2.25,53.4,54.1,3,0.2714,-0.0827,0.0001,368
