
S&P 500 INDEX,Last: 6711.2002,Change:  22.7402
"Date: October 1, 2025 at 7:01 PM EDT",Bid: 6661.1099,Ask: 6743.9702,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Aug 21 2026,SPX260821C00800000,0,0,5873.9,5912.7,0,0.874,1,0,0,800.00,SPX260821P00800000,0.59,0.015,0.4,0.65,8,0.7627,-0.0005,0,463
Fri Aug 21 2026,SPX260821C01200000,0,0,5488.6,5527.5,0,0.736,1,0,0,1200.00,SPX260821P01200000,1.4,-0.15,1.3,1.8,3,0.6766,-0.0011,0,107
Fri Aug 21 2026,SPX260821C01600000,0,0,5103.9,5142.6,0,0.6428,1,0,0,1600.00,SPX260821P01600000,3.02,-0.03,2.8,3.3,8,0.6084,-0.0022,0,73
Fri Aug 21 2026,SPX260821C01800000,0,0,4911.8,4950.7,0,0.608,1,0,0,1800.00,SPX260821P01800000,4.06,0.01,3.8,4.3,28,0.5808,-0.0031,0,84
Fri Aug 21 2026,SPX260821C02000000,4611.96,0,4719.9,4758.8,0,0.5757,0.9999,0,0,2000.00,SPX260821P02000000,5.4,0,5.1,5.7,4,0.5546,-0.0042,0,36
Fri Aug 21 2026,SPX260821C02800000,0,0,3954.8,3993.8,0,0.4729,0.9928,0,0,2800.00,SPX260821P02800000,12.35,-0.05,12.2,12.7,6,0.4617,-0.0112,0,127
Fri Aug 21 2026,SPX260821C02900000,0,0,3859.1,3898.4,0,0.4608,0.9916,0,0,2900.00,SPX260821P02900000,13.68,0.08,13.4,13.9,4,0.4514,-0.0125,0,117
Fri Aug 21 2026,SPX260821C03200000,0,0,3584.4,3595,0,0.4209,0.9874,0,0,3200.00,SPX260821P03200000,17.32,-0.28,17.4,17.8,2,0.4213,-0.0168,0,123
Fri Aug 21 2026,SPX260821C03300000,0,0,3489.4,3499.8,0,0.4111,0.9857,0,0,3300.00,SPX260821P03300000,18.81,-0.19,18.9,19.3,30,0.411,-0.0184,0,291
Fri Aug 21 2026,SPX260821C03400000,0,0,3394.5,3404.7,0,0.4012,0.984,0,0,3400.00,SPX260821P03400000,20.63,0.03,20.4,20.9,2,0.4021,-0.0202,0,34
Fri Aug 21 2026,SPX260821C03600000,0,0,3204.9,3214.8,0,0.3825,0.98,0,0,3600.00,SPX260821P03600000,23.75,-0.2,23.8,24.3,8,0.3824,-0.0241,0,114
Fri Aug 21 2026,SPX260821C03700000,0,0,3110.3,3120,0,0.3733,0.9778,0,0,3700.00,SPX260821P03700000,25.88,0.08,25.7,26.2,12,0.3733,-0.0263,0,152
Fri Aug 21 2026,SPX260821C03800000,0,0,3015.9,3025.3,0,0.3641,0.9754,0,0,3800.00,SPX260821P03800000,27.45,-0.35,27.7,28.2,1,0.3644,-0.0287,0,5
Fri Aug 21 2026,SPX260821C04150000,0,0,2686.9,2695.3,0,0.3346,0.965,0,0,4150.00,SPX260821P04150000,36.1,-0.05,36,36.7,3,0.3348,-0.0391,0,685
Fri Aug 21 2026,SPX260821C04350000,0,0,2500.2,2508.2,0,0.319,0.9574,0,0,4350.00,SPX260821P04350000,42.56,0.21,42.2,42.9,2,0.3191,-0.0467,0,50
Fri Aug 21 2026,SPX260821C04600000,0,0,2268.8,2276.4,0,0.3008,0.9454,0.0001,0,4600.00,SPX260821P04600000,52.26,0.16,51.8,52.7,7,0.3014,-0.0587,0.0001,1201
Fri Aug 21 2026,SPX260821C04700000,0,0,2176.9,2184.4,0,0.2938,0.9396,0.0001,0,4700.00,SPX260821P04700000,56.73,-0.07,56.5,57.3,1,0.2941,-0.0644,0.0001,80
Fri Aug 21 2026,SPX260821C05100000,1532.42,0,1815,1821.8,0,0.2678,0.9101,0.0001,11,5100.00,SPX260821P05100000,80.8,-0.35,80.4,81.3,1,0.2681,-0.094,0.0001,394
Fri Aug 21 2026,SPX260821C05300000,0,0,1638.1,1644.5,0,0.2557,0.8906,0.0001,0,5300.00,SPX260821P05300000,97,-0.35,96.3,97.4,500,0.2559,-0.1135,0.0001,691
Fri Aug 21 2026,SPX260821C05350000,1412.5,0,1594.3,1600.7,0,0.2527,0.8852,0.0001,2,5350.00,SPX260821P05350000,101.18,-0.72,100.8,101.9,1,0.2529,-0.119,0.0001,122
Fri Aug 21 2026,SPX260821C05825000,1134.33,0,1191.6,1194.5,0,0.2251,0.8197,0.0002,1,5825.00,SPX260821P05825000,156.07,-1.48,155.2,156.6,2,0.2252,-0.1844,0.0002,314
Fri Aug 21 2026,SPX260821C05875000,965.56,0,1150.5,1153.4,0,0.2222,0.8112,0.0002,12,5875.00,SPX260821P05875000,167.77,2.92,162.3,163.7,1,0.2224,-0.1929,0.0002,117
Fri Aug 21 2026,SPX260821C05900000,882.4,0,1129.9,1133,0,0.2208,0.8068,0.0002,18,5900.00,SPX260821P05900000,171.67,3.02,166.3,167.4,1,0.221,-0.1973,0.0002,632
Fri Aug 21 2026,SPX260821C06050000,939.37,0,1008.9,1012,0,0.2122,0.7784,0.0002,37,6050.00,SPX260821P06050000,187.92,-5.03,190.1,191.3,66,0.2122,-0.2257,0.0002,79
Fri Aug 21 2026,SPX260821C06075000,743.91,0,989,992.1,0,0.2106,0.7734,0.0002,1,6075.00,SPX260821P06075000,192.21,-4.99,194.1,195.6,10,0.2108,-0.2307,0.0002,387
Fri Aug 21 2026,SPX260821C06100000,922.62,0,969.2,972.3,0,0.2092,0.7682,0.0002,242,6100.00,SPX260821P06100000,196.53,-5.07,198.7,200,83,0.2093,-0.2359,0.0002,382
